"ForC.site.ID","GROA.site.ID"
1,13943
19,2042
50,13948
87,295
100,310
160,13902
186,345
272,269
286,13910
288,13914
291,13944
295,13952
311,13927
324,13932
396,3575
399,13921
402,13923
413,13929
419,13949
431,13937
486,13906
511,13915
528,13939
533,13951
534,13912
535,13918
559,363
562,13911
563,293
565,13919
588,2043
596,286
597,2021
602,13907
746,13953
749,13925
774,13916
800,273
862,2039
870,2236
878,2350
879,3507
947,2040
949,13955
957,13938
974,6901
988,13924
1010,309
1050,2261
1063,13926
1142,100
1159,13904
1161,307
1168,314
1224,3903
1258,13950
1268,19
1310,13909
1322,303
1324,294
1337,3716
1400,2393
1420,13945
1426,13931
1428,277
1438,304
1447,290
1450,13941
1452,13901
1453,13903
1464,283
1478,13908
1481,13942
1507,13917
1530,285
1531,274
1533,284
1549,3528
1557,344
1558,13933
1606,13920
1641,13930
1642,13928
1673,13934
1683,3623
1740,3650
1747,54
1792,13935
1826,342
1829,13940
1863,13936
1868,2396
1871,3625
1879,13913
1886,13954
1895,13947
1897,13946
1912,3793
1928,3641
1952,3604
1953,3591
1954,3733
1955,3815
1956,3624
1957,3825
1958,3743
1959,3518
1960,3543
1961,3772
1962,3704
1978,3535
2008,2250
2009,346
2018,255
2044,2025
2049,13922
2532,2206
2568,319
2614,63
3123,2083
3423,3582
3424,13956
3425,13982
3426,3884
3427,3885
3428,2257
3429,13976
3430,3907
3431,2112
3432,444
3433,2145
3434,2354
3435,289
3436,3871
3437,3897
3438,3140
3439,14102
3440,14104
3441,14105
3442,14106
3443,14107
3444,14108
3445,14110
3446,14111
3447,14112
3448,14113
3449,14114
3450,14115
3451,14116
3452,14117
3453,14118
3454,14120
3455,14121
3456,14122
3457,14123
3458,14125
3459,14126
3460,14127
3461,14128
3462,14132
3463,14133
3464,14134
3465,14135
3466,14136
3467,14137
3468,14138
3469,14139
3470,14140
3471,14141
3472,14142
3473,14144
3474,14146
3475,14147
3476,14148
3477,14149
3478,14151
3479,14154
3480,14155
3481,14156
3482,14158
3483,14159
3484,14160
3485,14161
3486,14162
3487,14163
3488,14169
3489,14170
3490,14172
3491,14173
3492,14174
3493,14177
3494,14178
3495,14184
3496,14186
3497,14187
3498,14189
3499,14190
3500,14192
3501,14194
3502,14195
3503,14196
3504,14197
3505,14204
3506,14205
3507,14206
3508,14207
3509,14208
3510,14209
3511,14218
3512,14219
3513,14221
3514,14222
3515,14223
3516,14224
3517,14225
3518,14226
3519,14227
3520,14228
3521,14229
3522,14230
3523,14231
3524,14232
3525,14233
3526,14234
3527,14235
3528,14237
3529,14238
3530,14240
3531,14241
3532,14242
3533,14244
3534,14245
3535,14246
3536,14247
3537,14248
3538,14250
3539,14251
3540,14254
3541,14255
3542,14258
3543,14259
3544,14260
3545,14261
3546,14262
3547,14263
3548,14264
3549,14265
3550,3508
3551,3898
3552,3566
3553,3683
3554,3686
3555,3784
3556,3695
3557,3570
3558,3723
3559,13972
3560,3662
3561,3703
3562,3826
3563,13977
3564,2217
3565,2218
3566,2219
3567,2220
3568,2221
3569,2222
3570,2223
3571,2224
3572,2225
3573,2226
3574,2227
3575,2391
3576,2413
3577,2092
3578,297
3579,3006
3580,56
3581,3899
3582,3900
3583,343
3584,2504
3585,2241
3586,2242
3587,2243
3588,14131
3589,14150
3590,14152
3591,14153
3592,14167
3593,14168
3594,14175
3595,14179
3596,14180
3597,14181
3598,14182
3599,14183
3600,14185
3601,14188
3602,14193
3603,14198
3604,14199
3605,14200
3606,14201
3607,14202
3608,14203
3609,14210
3610,14211
3611,14212
3612,14213
3613,14214
3614,14215
3615,14216
3616,14217
3617,14220
3618,14236
3619,14239
3620,14243
3621,14249
3622,14252
3623,14253
3624,14256
3625,14257
3626,425
3627,3572
3628,49
3629,13973
3630,398
3631,2048
3632,2049
3633,2050
3634,2051
3635,2052
3636,2053
3637,2054
3638,2055
3639,2056
3640,2057
3641,2058
3642,2059
3643,2060
3644,2061
3645,2062
3646,2063
3647,2064
3648,2065
3649,2066
3650,2067
3651,2068
3652,2069
3653,2070
3654,2071
3655,13971
3656,2332
3657,2444
3658,22
3659,426
3660,40
3661,64
3662,2116
3663,3767
3664,6902
3665,3529
3666,13957
3667,2305
3668,2174
3669,2090
3670,2096
3671,2098
3672,2100
3673,3759
3674,13964
3675,13967
3676,2357
3677,278
3678,39
3679,41
3680,140
3681,243
3682,291
3683,2259
3684,2377
3685,3705
3686,55
3687,60
3688,2379
3689,2114
3690,3710
3691,2150
3692,3606
3693,399
3694,3877
3695,3878
3696,14006
3697,2094
3698,298
3699,412
3700,417
3701,419
3702,420
3703,421
3704,423
3705,424
3706,435
3707,2175
3708,3789
3709,10
3710,59
3711,67
3712,2137
3713,2304
3714,3774
3715,238
3716,2003
3717,2010
3718,2151
3719,2152
3720,14005
3721,2110
3722,105
3723,2037
3724,2289
3725,2291
3726,2292
3727,13983
3728,13984
3729,13985
3730,36
3731,37
3733,175
3734,386
3735,14103
3736,14109
3737,14119
3738,14124
3739,14129
3740,14130
3741,14143
3742,14145
3743,14157
3744,14164
3745,14165
3746,14166
3747,14171
3748,14176
3749,14191
3750,7
3751,8
3752,9
3753,11
3754,14
3755,15
3756,16
3757,18
3758,42
3759,43
3760,44
3761,46
3762,47
3763,48
3764,51
3765,58
3766,61
3767,66
3768,68
3769,209
3770,210
3771,211
3772,212
3773,226
3774,227
3775,229
3776,388
3777,434
3778,441
3779,442
3780,2015
3781,2016
3782,2028
3783,2029
3784,2030
3785,2031
3786,2032
3787,2046
3788,2073
3790,2121
3791,2122
3792,2123
3793,2124
3794,2125
3795,2126
3796,2127
3797,2128
3798,2129
3799,2130
3800,2156
3801,2158
3802,2164
3803,2165
3804,2179
3805,2180
3806,2229
3807,2283
3808,2286
3809,2287
3810,2362
3811,2382
3812,2383
3813,2384
3814,2385
3815,2398
3816,2401
3817,2403
3818,2405
3819,2505
3820,2506
3821,2509
3822,3509
3823,3538
3824,3628
3825,3649
3826,3661
3827,3699
3828,3765
3829,3781
3830,3800
3831,3816
3832,3863
3833,3886
3834,3887
3835,3888
3836,3889
3837,3890
3838,3891
3839,3893
3840,3894
3841,3895
3842,3896
3843,3901
3844,3956
3845,3957
3846,3958
3847,3959
3848,3960
3849,3961
3850,3962
3851,3963
3852,3964
3853,3965
3854,3966
3855,3967
3856,3968
3857,3969
3858,3970
3859,3971
3860,3972
3861,3973
3862,3974
3863,3975
3864,3976
3865,3977
3866,3978
3867,3979
3868,3980
3869,3981
3870,3982
3871,3983
3872,3984
3873,3985
3874,3986
3875,3987
3876,3988
3877,3989
3878,3990
3879,3991
3880,3992
3881,3993
3882,3994
3883,3995
3884,3996
3885,3997
3886,3998
3887,3999
3888,4000
3889,4001
3890,4002
3891,4003
3892,4004
3893,4005
3894,4006
3895,4007
3896,4008
3897,4009
3898,4010
3899,4011
3900,4012
3901,4013
3902,4014
3903,4015
3904,4016
3905,4017
3906,4018
3907,4019
3908,4020
3909,4021
3910,4022
3911,4023
3912,4024
3913,4025
3914,4026
3915,4027
3916,4028
3917,4029
3918,4030
3919,4031
3920,4032
3921,4033
3922,4034
3923,4035
3924,4036
3925,4037
3926,4038
3927,4039
3928,4040
3929,4041
3930,4042
3931,4043
3932,4044
3933,4045
3934,4046
3935,4047
3936,4048
3937,4049
3938,4050
3939,4051
3940,4052
3941,4053
3942,4054
3943,4055
3944,4056
3945,4057
3946,4058
3947,4059
3948,4060
3949,4061
3950,4062
3951,4063
3952,4064
3953,4065
3954,4066
3955,4067
3956,4068
3957,4069
3958,4070
3959,4071
3960,4072
3961,4074
3962,4075
3963,4076
3964,4077
3965,4078
3966,4079
3967,4080
3968,4081
3969,4082
3970,4083
3971,4084
3972,4085
3973,4086
